Open Time,Open,High,Low,Close,Volume,Close Time,QAV,No. Trades,Taker BBAV,Taker BQAV,Ignore
1617479220000,337950.00000000,337950.00000000,337949.00000000,337950.00000000,0.00167000,1617479279999,564.37551600,4,0.00167000,564.37551600,0
1617479280000,337950.00000000,338162.00000000,337950.00000000,338162.00000000,0.09957300,1617479339999,33652.15865600,11,0.09900300,33459.50093600,0
1617479340000,338359.00000000,338474.00000000,337978.00000000,337979.00000000,0.01802900,1617479399999,6098.14787400,17,0.01020900,3454.37997700,0
1617479400000,337979.00000000,338359.00000000,337978.00000000,338359.00000000,0.03590400,1617479459999,12139.64729900,10,0.01278500,4325.91981500,0
1617479460000,338126.00000000,338127.00000000,337768.00000000,337768.00000000,0.06306600,1617479519999,21318.89797100,14,0.04555100,15401.93958600,0
1617479520000,337769.00000000,338125.00000000,337769.00000000,337854.00000000,0.00231900,1617479579999,783.66489400,11,0.00067900,229.58687500,0
1617479580000,338162.00000000,338406.00000000,338042.00000000,338359.00000000,0.04092400,1617479639999,13834.22385500,14,0.00052500,177.64293300,0
1617479640000,338157.00000000,338359.00000000,337964.00000000,338357.00000000,0.01244500,1617479699999,4210.70973900,19,0.01226500,4149.87612900,0
1617479700000,338185.00000000,338397.00000000,338185.00000000,338397.00000000,0.00789500,1617479759999,2671.33745100,8,0.00789500,2671.33745100,0
1617479760000,338397.00000000,338499.00000000,338166.00000000,338499.00000000,0.04215700,1617479819999,14266.46843500,19,0.04126100,13963.42089300,0
1617479820000,338500.00000000,338555.00000000,338408.00000000,338500.00000000,0.01647800,1617479879999,5577.58022500,8,0.00869000,2941.58102900,0
1617479880000,338556.00000000,338999.00000000,338556.00000000,338999.00000000,0.03033600,1617479939999,10275.20034500,19,0.03033600,10275.20034500,0
1617479940000,338745.00000000,339150.00000000,338745.00000000,339128.00000000,0.03606800,1617479999999,12228.55078200,20,0.02744300,9304.81988900,0
1617480000000,339325.00000000,339325.00000000,338757.00000000,339319.00000000,0.05033000,1617480059999,17061.59265600,37,0.01245300,4224.64959400,0
